order,id,date,time,title,url,visitCount,typedCount,transition
0,80767,7/17/2026,1:33:44,Export Chrome History - Chrome Web Store,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?hl=en&pli=1,1,0,link
1,80763,7/17/2026,1:33:42,export chrome history extension - Google Search,https://www.google.com/search?q=export+chrome+history+extension&oq=Export+Chrome+History.+&gs_lcrp=EgZjaHJvbWUqCAgCEAAYFhgeMgYIABBFGDkyCAgBEAAYFhgeMggIAhAAGBYYHjIICAMQABgWGB4yCAgEEAAYFhgeMggIBRAAGBYYHjIICAYQABgWGB4yCAgHEAAYFhgeMggICBAAGBYYHjIICAkQABgWGB7SAQgxOTMyajBqN6gCALACAA&sourceid=chrome&source=chrome.ob&ie=UTF-8,1,0,generated
2,1,7/17/2026,1:22:41,Inbox - serhii@bridgewise.com - BridgeWise Mail,https://mail.google.com/mail/u/0/#inbox,240,0,link
3,80762,7/17/2026,1:22:34,Phishing Alert - serhii@bridgewise.com - BridgeWise Mail,https://mail.google.com/mail/u/0/#inbox/FMfcgzQhVNfLHPGlFlvVGGNsvpxDprhM,1,0,link
4,80761,7/17/2026,1:10:27,My Davinci Resolve Color Grading Process - Simple & Effective! - YouTube,https://www.youtube.com/watch?v=oPG-JmKGP3k,1,0,link
5,80760,7/17/2026,1:09:33,how to color D-Log videos in DaVinci - YouTube,https://www.youtube.com/results?search_query=how+to+color+D-Log+videos+in+DaVinci,1,0,link
6,2829,7/17/2026,1:09:33,YouTube,https://www.youtube.com/,15,7,link
7,2829,7/17/2026,1:09:14,YouTube,https://www.youtube.com/,15,7,typed
8,80759,7/16/2026,20:17:37,вмятину - Google Search,https://www.google.com/search?q=%D0%B2%D0%BC%D1%8F%D1%82%D0%B8%D0%BD%D1%83&oq=%D0%B2%D0%BC%D1%8F%D1%82%D0%B8%D0%BD%D1%83&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQABgTGIAEMgkIAhAAGBMYgAQyCAgDEAAYExgeMgoIBBAAGAUYExgeMgoIBRAAGIAEGKIEMgcIBhAAGO8FMgcIBxAAGO8FMgoICBAAGIAEGKIEMgcICRAAGO8F0gEHNjk5ajBqN6gCALACAA&sourceid=chrome&source=chrome.ob&ie=UTF-8,1,0,generated
9,80417,7/16/2026,20:16:59,DT-16667: new fund peers calculation logic by ssliadnievv · Pull Request #3528 · deshe-analytics/de-bridge-wise,https://github.com/deshe-analytics/de-bridge-wise/pull/3528/changes,3,0,reload
10,80758,7/16/2026,15:35:53,DaVinci Resolve Speed Editor - Google Search,https://www.google.com/search?q=DaVinci+Resolve+Speed+Editor&sca_esv=a2f83d5c53e6a7c3&sxsrf=APpeQnuVlv2hGT0WgZ6uBV97nm0LTo94ug%3A1784204915467&ei=c85YavGVHMHLwPAP1LDfiQQ&ved=0ahUKEwixm8WhmdeVAxXBJRAIHVTYN0EQ4dUDCBI&uact=5&oq=DaVinci+Resolve+Speed+Editor&gs_lp=Egxnd3Mtd2l6LXNlcnAiHERhVmluY2kgUmVzb2x2ZSBTcGVlZCBFZGl0b3IyCxAAGIAEGIoFGJECMgsQABiABBiKBRiRAjILEAAYgAQYigUYkQIyCxAAGIAEGIoFGJECMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAESO8CUABYAHAAeACQAQCYAXegAXeqAQMwLjG4AQPIAQD4AQL4AQGYAgGgAoEBmAMAkgcDMC4xoAeNBrIHAzAuMbgHgQHCBwMyLTHIBweACAE&sclient=gws-wiz-serp,1,0,form_submit
11,80755,7/16/2026,15:28:53,davinci resolve subscription - Google Search,https://www.google.com/search?q=davinci+resolve+subscription&sca_esv=a2f83d5c53e6a7c3&sxsrf=APpeQnvoKgMS2toF0xEPL3rc9B0JeZCrFg%3A1784204900419&ei=ZM5Yav6EGdC_wPAPgM76kAk&oq=davinci+resolve+%D1%8B%D0%B3%D0%B8%D1%8B&gs_lp=Egxnd3Mtd2l6LXNlcnAiGGRhdmluY2kgcmVzb2x2ZSDRi9Cz0LjRiyoCCAAyBxAAGIAEGA0yBxAAGIAEGA0yBxAAGIAEGA0yBxAAGIAEGA0yBxAAGIAEGA0yBxAAGIAEGA0yBhAAGB4YDTIGEAAYHhgNMgYQABgeGA0yBhAAGB4YDUjZHlApWJEXcAF4AJABAJgBrgGgAZoFqgEDMy4zuAEByAEA-AEBmAIGoAL7BMICChAAGEcY1gQYsAPCAg0QABiABBiKBRhDGLADwgIOEAAY5AIY1gQYsAPYAQHCAhcQLhjcBhi4BhjaBhjYAhjIAxiwA9gBAcICChAAGIAEGIoFGEPCAgUQABiABMICBhAAGBYYHsICBRAAGO8FwgIIEAAYFhgeGAqYAwCIBgGQBhO6BgYIARABGAmSBwMyLjSgB6kxsgcDMS40uAflBMIHBTItMS41yAc-gAgB&sclient=gws-wiz-serp,3,0,form_submit
